UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2002/1/20,2002/2/20,2002/3/20,2002/4/20,2002/5/20
84001075,US,USA,840,1075,Lamar,Alabama,US,33.77995024,-88.09668032,"Lamar, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001077,US,USA,840,1077,Lauderdale,Alabama,US,34.90171875,-87.65624729,"Lauderdale, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001079,US,USA,840,1079,Lawrence,Alabama,US,34.52041498,-87.31069453,"Lawrence, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001081,US,USA,840,1081,Lee,Alabama,US,32.60154883,-85.35132246,"Lee, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001083,US,USA,840,1083,Limestone,Alabama,US,34.81185586,-86.98310072,"Limestone, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001085,US,USA,840,1085,Lowndes,Alabama,US,32.1597283,-86.65158371,"Lowndes, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001087,US,USA,840,1087,Macon,Alabama,US,32.38759944,-85.69267724,"Macon, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001089,US,USA,840,1089,Madison,Alabama,US,34.76327133,-86.55069633,"Madison, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001091,US,USA,840,1091,Marengo,Alabama,US,32.24767634,-87.78796182,"Marengo, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001093,US,USA,840,1093,Marion,Alabama,US,34.13697363,-87.88704173,"Marion, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001095,US,USA,840,1095,Marshall,Alabama,US,34.36975964,-86.30486727,"Marshall, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001097,US,USA,840,1097,Mobile,Alabama,US,30.78472347,-88.20842409,"Mobile, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
