Date,ISO,Country,Status
17/02/2020,CHN,China,Partially open
17/02/2020,MNG,Mongolia,Closed due to COVID-19
18/02/2020,CHN,China,Partially open
18/02/2020,MNG,Mongolia,Closed due to COVID-19
19/02/2020,CHN,China,Partially open
19/02/2020,MNG,Mongolia,Closed due to COVID-19
20/02/2020,CHN,China,Partially open
20/02/2020,MNG,Mongolia,Closed due to COVID-19
21/02/2020,CHN,China,Closed due to COVID-19
21/02/2020,MNG,Mongolia,Closed due to COVID-19
22/02/2020,CHN,China,Closed due to COVID-19
22/02/2020,MNG,Mongolia,Closed due to COVID-19
23/02/2020,CHN,China,Closed due to COVID-19
23/02/2020,MNG,Mongolia,Closed due to COVID-19
24/02/2020,CHN,China,Closed due to COVID-19
24/02/2020,ITA,Italy,Partially open
24/02/2020,MNG,Mongolia,Closed due to COVID-19
24/02/2020,SMR,San Marino,Closed due to COVID-19
25/02/2020,CHN,China,Closed due to COVID-19
25/02/2020,ITA,Italy,Partially open
25/02/2020,MNG,Mongolia,Closed due to COVID-19
25/02/2020,SMR,San Marino,Closed due to COVID-19
26/02/2020,BHR,Bahrain,Closed due to COVID-19
26/02/2020,CHN,China,Closed due to COVID-19
26/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
26/02/2020,ITA,Italy,Partially open
26/02/2020,MNG,Mongolia,Closed due to COVID-19
26/02/2020,SMR,San Marino,Closed due to COVID-19
27/02/2020,BHR,Bahrain,Closed due to COVID-19
27/02/2020,CHN,China,Closed due to COVID-19
27/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
27/02/2020,ITA,Italy,Partially open
27/02/2020,MNG,Mongolia,Closed due to COVID-19
27/02/2020,PAK,Pakistan,Partially open
27/02/2020,SMR,San Marino,Closed due to COVID-19
28/02/2020,BHR,Bahrain,Closed due to COVID-19
28/02/2020,CHN,China,Closed due to COVID-19
28/02/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
28/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
28/02/2020,IRQ,Iraq,Partially open
28/02/2020,ITA,Italy,Partially open
28/02/2020,MNG,Mongolia,Closed due to COVID-19
28/02/2020,PAK,Pakistan,Partially open
28/02/2020,SMR,San Marino,Closed due to COVID-19
28/02/2020,USA,United States of America,Partially open
28/02/2020,VNM,Viet Nam,Partially open
29/02/2020,BHR,Bahrain,Closed due to COVID-19
29/02/2020,CHN,China,Closed due to COVID-19
29/02/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
29/02/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
29/02/2020,IRQ,Iraq,Partially open
29/02/2020,ITA,Italy,Partially open
29/02/2020,MNG,Mongolia,Closed due to COVID-19
29/02/2020,PAK,Pakistan,Partially open
29/02/2020,SMR,San Marino,Closed due to COVID-19
29/02/2020,USA,United States of America,Partially open
29/02/2020,VNM,Viet Nam,Partially open
1/3/2020,BHR,Bahrain,Closed due to COVID-19
1/3/2020,CHN,China,Closed due to COVID-19
1/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
1/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
1/3/2020,IRQ,Iraq,Partially open
1/3/2020,ITA,Italy,Partially open
1/3/2020,KWT,Kuwait,Closed due to COVID-19
1/3/2020,MNG,Mongolia,Closed due to COVID-19
1/3/2020,PAK,Pakistan,Partially open
1/3/2020,SMR,San Marino,Closed due to COVID-19
1/3/2020,USA,United States of America,Partially open
1/3/2020,VNM,Viet Nam,Partially open
2/3/2020,ARM,Armenia,Closed due to COVID-19
2/3/2020,BHR,Bahrain,Closed due to COVID-19
2/3/2020,CHN,China,Closed due to COVID-19
2/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
2/3/2020,GEO,Georgia,Closed due to COVID-19
2/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
2/3/2020,IRQ,Iraq,Partially open
2/3/2020,ITA,Italy,Partially open
2/3/2020,JPN,Japan,Closed due to COVID-19
2/3/2020,KOR,Republic of Korea,Closed due to COVID-19
2/3/2020,KWT,Kuwait,Closed due to COVID-19
2/3/2020,LBN,Lebanon,Closed due to COVID-19
2/3/2020,MNG,Mongolia,Closed due to COVID-19
2/3/2020,PAK,Pakistan,Partially open
2/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
2/3/2020,SMR,San Marino,Closed due to COVID-19
2/3/2020,USA,United States of America,Partially open
2/3/2020,VNM,Viet Nam,Partially open
3/3/2020,AFG,Afghanistan,Partially open
3/3/2020,ARM,Armenia,Closed due to COVID-19
3/3/2020,AZE,Azerbaijan,Closed due to COVID-19
3/3/2020,BHR,Bahrain,Closed due to COVID-19
3/3/2020,CHN,China,Closed due to COVID-19
3/3/2020,DEU,Germany,Partially open
3/3/2020,FRA,France,Partially open
3/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
3/3/2020,GEO,Georgia,Closed due to COVID-19
3/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
3/3/2020,IRQ,Iraq,Partially open
3/3/2020,ITA,Italy,Partially open
3/3/2020,JPN,Japan,Closed due to COVID-19
3/3/2020,KOR,Republic of Korea,Closed due to COVID-19
3/3/2020,KWT,Kuwait,Closed due to COVID-19
3/3/2020,LBN,Lebanon,Closed due to COVID-19
3/3/2020,MNG,Mongolia,Closed due to COVID-19
3/3/2020,PAK,Pakistan,Partially open
3/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
3/3/2020,SMR,San Marino,Closed due to COVID-19
3/3/2020,USA,United States of America,Partially open
3/3/2020,VNM,Viet Nam,Partially open
4/3/2020,AFG,Afghanistan,Partially open
4/3/2020,ARM,Armenia,Closed due to COVID-19
4/3/2020,AZE,Azerbaijan,Closed due to COVID-19
4/3/2020,BHR,Bahrain,Closed due to COVID-19
4/3/2020,CHN,China,Closed due to COVID-19
4/3/2020,DEU,Germany,Partially open
4/3/2020,FRA,France,Partially open
4/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
4/3/2020,GEO,Georgia,Closed due to COVID-19
4/3/2020,IND,India,Partially open
4/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
4/3/2020,IRQ,Iraq,Partially open
4/3/2020,ITA,Italy,Partially open
4/3/2020,JPN,Japan,Closed due to COVID-19
4/3/2020,KOR,Republic of Korea,Closed due to COVID-19
4/3/2020,KWT,Kuwait,Closed due to COVID-19
4/3/2020,LBN,Lebanon,Closed due to COVID-19
4/3/2020,MNG,Mongolia,Closed due to COVID-19
4/3/2020,PAK,Pakistan,Partially open
4/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
4/3/2020,SMR,San Marino,Closed due to COVID-19
4/3/2020,USA,United States of America,Partially open
4/3/2020,VNM,Viet Nam,Partially open
5/3/2020,AFG,Afghanistan,Partially open
5/3/2020,ARM,Armenia,Closed due to COVID-19
5/3/2020,AZE,Azerbaijan,Closed due to COVID-19
5/3/2020,BHR,Bahrain,Closed due to COVID-19
5/3/2020,CHN,China,Closed due to COVID-19
5/3/2020,DEU,Germany,Partially open
5/3/2020,FRA,France,Partially open
5/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
5/3/2020,GEO,Georgia,Closed due to COVID-19
5/3/2020,GRC,Greece,Partially open
5/3/2020,IND,India,Partially open
5/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
5/3/2020,IRQ,Iraq,Partially open
5/3/2020,ITA,Italy,Partially open
5/3/2020,JPN,Japan,Closed due to COVID-19
5/3/2020,KOR,Republic of Korea,Closed due to COVID-19
5/3/2020,KWT,Kuwait,Closed due to COVID-19
5/3/2020,LBN,Lebanon,Closed due to COVID-19
5/3/2020,MNG,Mongolia,Closed due to COVID-19
5/3/2020,PAK,Pakistan,Partially open
5/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
5/3/2020,PRT,Portugal,Partially open
5/3/2020,PSE,Palestine,Partially open
5/3/2020,SMR,San Marino,Closed due to COVID-19
5/3/2020,USA,United States of America,Partially open
5/3/2020,VNM,Viet Nam,Partially open
6/3/2020,AFG,Afghanistan,Partially open
6/3/2020,ARM,Armenia,Closed due to COVID-19
6/3/2020,AZE,Azerbaijan,Closed due to COVID-19
6/3/2020,BHR,Bahrain,Closed due to COVID-19
6/3/2020,BTN,Bhutan,Partially open
6/3/2020,CHN,China,Closed due to COVID-19
6/3/2020,DEU,Germany,Partially open
6/3/2020,FRA,France,Partially open
6/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
6/3/2020,GEO,Georgia,Closed due to COVID-19
6/3/2020,GRC,Greece,Partially open
6/3/2020,IND,India,Partially open
6/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
6/3/2020,IRQ,Iraq,Partially open
6/3/2020,ITA,Italy,Partially open
6/3/2020,JPN,Japan,Closed due to COVID-19
6/3/2020,KOR,Republic of Korea,Closed due to COVID-19
6/3/2020,KWT,Kuwait,Closed due to COVID-19
6/3/2020,LBN,Lebanon,Closed due to COVID-19
6/3/2020,MNG,Mongolia,Closed due to COVID-19
6/3/2020,PAK,Pakistan,Partially open
6/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
6/3/2020,PRT,Portugal,Partially open
6/3/2020,PSE,Palestine,Partially open
6/3/2020,SMR,San Marino,Closed due to COVID-19
6/3/2020,UKR,Ukraine,Partially open
6/3/2020,USA,United States of America,Partially open
6/3/2020,VNM,Viet Nam,Partially open
7/3/2020,AFG,Afghanistan,Partially open
7/3/2020,ARM,Armenia,Closed due to COVID-19
7/3/2020,AZE,Azerbaijan,Closed due to COVID-19
7/3/2020,BHR,Bahrain,Closed due to COVID-19
7/3/2020,BTN,Bhutan,Partially open
7/3/2020,CHN,China,Closed due to COVID-19
7/3/2020,DEU,Germany,Partially open
7/3/2020,FRA,France,Partially open
7/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
7/3/2020,GEO,Georgia,Closed due to COVID-19
7/3/2020,GRC,Greece,Partially open
7/3/2020,IND,India,Partially open
7/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
7/3/2020,IRQ,Iraq,Closed due to COVID-19
7/3/2020,ITA,Italy,Partially open
7/3/2020,JPN,Japan,Closed due to COVID-19
7/3/2020,KOR,Republic of Korea,Closed due to COVID-19
7/3/2020,KWT,Kuwait,Closed due to COVID-19
7/3/2020,LBN,Lebanon,Closed due to COVID-19
7/3/2020,MNG,Mongolia,Closed due to COVID-19
7/3/2020,PAK,Pakistan,Partially open
7/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
7/3/2020,PRT,Portugal,Partially open
7/3/2020,PSE,Palestine,Partially open
7/3/2020,SMR,San Marino,Closed due to COVID-19
7/3/2020,UKR,Ukraine,Partially open
7/3/2020,USA,United States of America,Partially open
7/3/2020,VNM,Viet Nam,Partially open
8/3/2020,AFG,Afghanistan,Partially open
8/3/2020,ARE,United Arab Emirates,Closed due to COVID-19
8/3/2020,ARM,Armenia,Closed due to COVID-19
8/3/2020,AZE,Azerbaijan,Closed due to COVID-19
8/3/2020,BHR,Bahrain,Closed due to COVID-19
8/3/2020,BTN,Bhutan,Partially open
8/3/2020,CHN,China,Closed due to COVID-19
8/3/2020,DEU,Germany,Partially open
8/3/2020,FRA,France,Partially open
8/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
8/3/2020,GEO,Georgia,Closed due to COVID-19
8/3/2020,GRC,Greece,Partially open
8/3/2020,IND,India,Partially open
8/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
8/3/2020,IRQ,Iraq,Closed due to COVID-19
8/3/2020,ITA,Italy,Partially open
8/3/2020,JPN,Japan,Closed due to COVID-19
8/3/2020,KHM,Cambodia,Partially open
8/3/2020,KOR,Republic of Korea,Closed due to COVID-19
8/3/2020,KWT,Kuwait,Closed due to COVID-19
8/3/2020,LBN,Lebanon,Closed due to COVID-19
8/3/2020,MNG,Mongolia,Closed due to COVID-19
8/3/2020,PAK,Pakistan,Partially open
8/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
8/3/2020,PRT,Portugal,Partially open
8/3/2020,PSE,Palestine,Partially open
8/3/2020,SMR,San Marino,Closed due to COVID-19
8/3/2020,UKR,Ukraine,Partially open
8/3/2020,USA,United States of America,Partially open
8/3/2020,VNM,Viet Nam,Partially open
9/3/2020,AFG,Afghanistan,Partially open
9/3/2020,ARE,United Arab Emirates,Closed due to COVID-19
9/3/2020,ARM,Armenia,Closed due to COVID-19
9/3/2020,AZE,Azerbaijan,Closed due to COVID-19
9/3/2020,BHR,Bahrain,Closed due to COVID-19
9/3/2020,BTN,Bhutan,Partially open
9/3/2020,CHN,China,Closed due to COVID-19
9/3/2020,DEU,Germany,Partially open
9/3/2020,FRA,France,Partially open
9/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
9/3/2020,GEO,Georgia,Closed due to COVID-19
9/3/2020,GRC,Greece,Partially open
9/3/2020,IND,India,Partially open
9/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
9/3/2020,IRQ,Iraq,Closed due to COVID-19
9/3/2020,ITA,Italy,Partially open
9/3/2020,JPN,Japan,Closed due to COVID-19
9/3/2020,KHM,Cambodia,Partially open
9/3/2020,KOR,Republic of Korea,Closed due to COVID-19
9/3/2020,KWT,Kuwait,Closed due to COVID-19
9/3/2020,LBN,Lebanon,Closed due to COVID-19
9/3/2020,MNG,Mongolia,Closed due to COVID-19
9/3/2020,PAK,Pakistan,Partially open
9/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
9/3/2020,PRT,Portugal,Partially open
9/3/2020,PSE,Palestine,Partially open
9/3/2020,SAU,Saudi Arabia,Closed due to COVID-19
9/3/2020,SMR,San Marino,Closed due to COVID-19
9/3/2020,UKR,Ukraine,Partially open
9/3/2020,USA,United States of America,Partially open
9/3/2020,VNM,Viet Nam,Partially open
10/3/2020,AFG,Afghanistan,Partially open
10/3/2020,ARE,United Arab Emirates,Closed due to COVID-19
10/3/2020,ARM,Armenia,Closed due to COVID-19
10/3/2020,AZE,Azerbaijan,Closed due to COVID-19
10/3/2020,BHR,Bahrain,Closed due to COVID-19
10/3/2020,BTN,Bhutan,Partially open
10/3/2020,CHN,China,Closed due to COVID-19
10/3/2020,DEU,Germany,Partially open
10/3/2020,FRA,France,Partially open
10/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
10/3/2020,GEO,Georgia,Closed due to COVID-19
10/3/2020,GRC,Greece,Partially open
10/3/2020,IND,India,Partially open
10/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
10/3/2020,IRQ,Iraq,Closed due to COVID-19
10/3/2020,ITA,Italy,Closed due to COVID-19
10/3/2020,JPN,Japan,Closed due to COVID-19
10/3/2020,KHM,Cambodia,Partially open
10/3/2020,KOR,Republic of Korea,Closed due to COVID-19
10/3/2020,KWT,Kuwait,Closed due to COVID-19
10/3/2020,LBN,Lebanon,Closed due to COVID-19
10/3/2020,MNG,Mongolia,Closed due to COVID-19
10/3/2020,PAK,Pakistan,Partially open
10/3/2020,PHL,Philippines,Partially open
10/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
10/3/2020,PRT,Portugal,Partially open
10/3/2020,PSE,Palestine,Partially open
10/3/2020,QAT,Qatar,Closed due to COVID-19
10/3/2020,SAU,Saudi Arabia,Closed due to COVID-19
10/3/2020,SMR,San Marino,Closed due to COVID-19
10/3/2020,SVK,Slovakia,Partially open
10/3/2020,UKR,Ukraine,Partially open
10/3/2020,USA,United States of America,Partially open
10/3/2020,VNM,Viet Nam,Partially open
11/3/2020,AFG,Afghanistan,Partially open
11/3/2020,ALB,Albania,Closed due to COVID-19
11/3/2020,ARE,United Arab Emirates,Closed due to COVID-19
11/3/2020,ARM,Armenia,Closed due to COVID-19
11/3/2020,AZE,Azerbaijan,Closed due to COVID-19
11/3/2020,BHR,Bahrain,Closed due to COVID-19
11/3/2020,BIH,Bosnia and Herzegovina,Closed due to COVID-19
11/3/2020,BTN,Bhutan,Partially open
11/3/2020,CHN,China,Closed due to COVID-19
11/3/2020,CZE,Czechia,Closed due to COVID-19
11/3/2020,DEU,Germany,Partially open
11/3/2020,ESP,Spain,Partially open
11/3/2020,FRA,France,Partially open
11/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
11/3/2020,GEO,Georgia,Closed due to COVID-19
11/3/2020,GRC,Greece,Closed due to COVID-19
11/3/2020,HUN,Hungary,Partially open
11/3/2020,IND,India,Partially open
11/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
11/3/2020,IRQ,Iraq,Closed due to COVID-19
11/3/2020,ITA,Italy,Closed due to COVID-19
11/3/2020,JPN,Japan,Closed due to COVID-19
11/3/2020,KHM,Cambodia,Partially open
11/3/2020,KOR,Republic of Korea,Closed due to COVID-19
11/3/2020,KWT,Kuwait,Closed due to COVID-19
11/3/2020,LBN,Lebanon,Closed due to COVID-19
11/3/2020,MDA,Republic of Moldova,Closed due to COVID-19
11/3/2020,MKD,North Macedonia,Closed due to COVID-19
11/3/2020,MNG,Mongolia,Closed due to COVID-19
11/3/2020,PAK,Pakistan,Partially open
11/3/2020,PHL,Philippines,Partially open
11/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
11/3/2020,PRT,Portugal,Partially open
11/3/2020,PRY,Paraguay ,Closed due to COVID-19
11/3/2020,PSE,Palestine,Partially open
11/3/2020,QAT,Qatar,Closed due to COVID-19
11/3/2020,ROU,Romania,Closed due to COVID-19
11/3/2020,RUS,Russian Federation,Partially open
11/3/2020,SAU,Saudi Arabia,Closed due to COVID-19
11/3/2020,SLV,El Salvador,Closed due to COVID-19
11/3/2020,SMR,San Marino,Closed due to COVID-19
11/3/2020,SVK,Slovakia,Partially open
11/3/2020,UKR,Ukraine,Partially open
11/3/2020,USA,United States of America,Partially open
11/3/2020,VNM,Viet Nam,Partially open
12/3/2020,AFG,Afghanistan,Partially open
12/3/2020,ALB,Albania,Closed due to COVID-19
12/3/2020,ARE,United Arab Emirates,Closed due to COVID-19
12/3/2020,ARM,Armenia,Closed due to COVID-19
12/3/2020,AZE,Azerbaijan,Closed due to COVID-19
12/3/2020,BHR,Bahrain,Closed due to COVID-19
12/3/2020,BIH,Bosnia and Herzegovina,Closed due to COVID-19
12/3/2020,BOL,Bolivia (Plurinational State of),Closed due to COVID-19
12/3/2020,BRA,Brazil,Partially open
12/3/2020,BTN,Bhutan,Partially open
12/3/2020,CHE,Switzerland,Partially open
12/3/2020,CHN,China,Closed due to COVID-19
12/3/2020,CZE,Czechia,Closed due to COVID-19
12/3/2020,DEU,Germany,Partially open
12/3/2020,DZA,Algeria,Closed due to COVID-19
12/3/2020,ESP,Spain,Partially open
12/3/2020,FRA,France,Partially open
12/3/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
12/3/2020,GEO,Georgia,Closed due to COVID-19
12/3/2020,GRC,Greece,Closed due to COVID-19
12/3/2020,HND,Honduras,Closed due to COVID-19
12/3/2020,HUN,Hungary,Partially open
12/3/2020,IND,India,Partially open
12/3/2020,IRL,Ireland,Closed due to COVID-19
12/3/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
12/3/2020,IRQ,Iraq,Closed due to COVID-19
12/3/2020,ISR,Israel,Closed due to COVID-19
12/3/2020,ITA,Italy,Closed due to COVID-19
12/3/2020,JPN,Japan,Closed due to COVID-19
12/3/2020,KHM,Cambodia,Partially open
12/3/2020,KOR,Republic of Korea,Closed due to COVID-19
12/3/2020,KWT,Kuwait,Closed due to COVID-19
12/3/2020,LBN,Lebanon,Closed due to COVID-19
12/3/2020,MDA,Republic of Moldova,Closed due to COVID-19
12/3/2020,MDV,Maldives,Closed due to COVID-19
12/3/2020,MKD,North Macedonia,Closed due to COVID-19
12/3/2020,MNG,Mongolia,Closed due to COVID-19
12/3/2020,NOR,Norway,Closed due to COVID-19
12/3/2020,PAK,Pakistan ,Partially open
12/3/2020,PAN,Panama,Closed due to COVID-19
12/3/2020,PHL,Philippines,Partially open
12/3/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
12/3/2020,PRT,Portugal,Partially open
12/3/2020,PRY,Paraguay ,Closed due to COVID-19
12/3/2020,PSE,Palestine,Partially open
12/3/2020,QAT,Qatar,Closed due to COVID-19
12/3/2020,ROU,Romania,Closed due to COVID-19
12/3/2020,RUS,Russian Federation,Partially open
12/3/2020,SAU,Saudi Arabia,Closed due to COVID-19
12/3/2020,SJM,Svalbard,Closed due to COVID-19
12/3/2020,SLV,El Salvador,Closed due to COVID-19
12/3/2020,SMR,San Marino,Closed due to COVID-19
12/3/2020,SVK,Slovakia,Partially open
12/3/2020,UKR,Ukraine,Closed due to COVID-19
12/3/2020,USA,United States of America,Partially open
12/3/2020,VNM,Viet Nam,Partially open
13/03/2020,AFG,Afghanistan,Partially open
13/03/2020,AIA,Anguilla,Closed due to COVID-19
13/03/2020,ALB,Albania,Closed due to COVID-19
13/03/2020,ARE,United Arab Emirates,Closed due to COVID-19
13/03/2020,ARM,Armenia,Closed due to COVID-19
13/03/2020,ATG,Antigua and Barbuda,Closed due to COVID-19
13/03/2020,AZE,Azerbaijan,Closed due to COVID-19
13/03/2020,BEL,Belgium,Closed due to COVID-19
13/03/2020,BHR,Bahrain,Closed due to COVID-19
13/03/2020,BIH,Bosnia and Herzegovina,Closed due to COVID-19
13/03/2020,BOL,Bolivia (Plurinational State of),Closed due to COVID-19
13/03/2020,BRA,Brazil,Partially open
13/03/2020,BTN,Bhutan,Partially open
13/03/2020,CAN,Canada,Partially open
13/03/2020,CHE,Switzerland,Partially open
13/03/2020,CHN,China,Closed due to COVID-19
13/03/2020,CYP,Cyprus,Closed due to COVID-19
13/03/2020,CZE,Czechia,Closed due to COVID-19
13/03/2020,DEU,Germany,Partially open
13/03/2020,DZA,Algeria,Closed due to COVID-19
13/03/2020,ECU,Ecuador,Closed due to COVID-19
13/03/2020,ESP,Spain,Partially open
13/03/2020,FRA,France,Partially open
13/03/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
13/03/2020,GEO,Georgia,Closed due to COVID-19
13/03/2020,GRC,Greece,Closed due to COVID-19
13/03/2020,HND,Honduras,Closed due to COVID-19
13/03/2020,HUN,Hungary,Partially open
13/03/2020,IND,India,Partially open
13/03/2020,IRL,Ireland,Closed due to COVID-19
13/03/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
13/03/2020,IRQ,Iraq,Closed due to COVID-19
13/03/2020,ISR,Israel,Closed due to COVID-19
13/03/2020,ITA,Italy,Closed due to COVID-19
13/03/2020,JAM,Jamaica,Closed due to COVID-19
13/03/2020,JPN,Japan,Closed due to COVID-19
13/03/2020,KHM,Cambodia,Partially open
13/03/2020,KOR,Republic of Korea,Closed due to COVID-19
13/03/2020,KWT,Kuwait,Closed due to COVID-19
13/03/2020,LBN,Lebanon,Closed due to COVID-19
13/03/2020,LKA,Sri Lanka,Closed due to COVID-19
13/03/2020,LVA,Latvia,Closed due to COVID-19
13/03/2020,MDA,Republic of Moldova,Closed due to COVID-19
13/03/2020,MDV,Maldives,Closed due to COVID-19
13/03/2020,MKD,North Macedonia,Closed due to COVID-19
13/03/2020,MLT,Malta,Closed due to COVID-19
13/03/2020,MNG,Mongolia,Closed due to COVID-19
13/03/2020,NOR,Norway,Closed due to COVID-19
13/03/2020,PAK,Pakistan ,Partially open
13/03/2020,PAN,Panama,Closed due to COVID-19
13/03/2020,PHL,Philippines,Partially open
13/03/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
13/03/2020,PRT,Portugal,Partially open
13/03/2020,PRY,Paraguay ,Closed due to COVID-19
13/03/2020,PSE,Palestine,Partially open
13/03/2020,QAT,Qatar,Closed due to COVID-19
13/03/2020,ROU,Romania,Closed due to COVID-19
13/03/2020,RUS,Russian Federation,Partially open
13/03/2020,SAU,Saudi Arabia,Closed due to COVID-19
13/03/2020,SJM,Svalbard,Closed due to COVID-19
13/03/2020,SLV,El Salvador,Closed due to COVID-19
13/03/2020,SMR,San Marino,Closed due to COVID-19
13/03/2020,SVK,Slovakia,Partially open
13/03/2020,UKR,Ukraine,Closed due to COVID-19
13/03/2020,USA,United States of America,Partially open
13/03/2020,VNM,Viet Nam,Partially open
14/03/2020,AFG,Afghanistan,Closed due to COVID-19
14/03/2020,AIA,Anguilla,Closed due to COVID-19
14/03/2020,ALB,Albania,Closed due to COVID-19
14/03/2020,ARE,United Arab Emirates,Closed due to COVID-19
14/03/2020,ARM,Armenia,Closed due to COVID-19
14/03/2020,ATG,Antigua and Barbuda,Closed due to COVID-19
14/03/2020,AZE,Azerbaijan,Closed due to COVID-19
14/03/2020,BEL,Belgium,Closed due to COVID-19
14/03/2020,BHR,Bahrain,Closed due to COVID-19
14/03/2020,BIH,Bosnia and Herzegovina,Closed due to COVID-19
14/03/2020,BOL,Bolivia (Plurinational State of),Closed due to COVID-19
14/03/2020,BRA,Brazil,Partially open
14/03/2020,BTN,Bhutan,Partially open
14/03/2020,CAN,Canada,Partially open
14/03/2020,CHE,Switzerland,Partially open
14/03/2020,CHN,China,Closed due to COVID-19
14/03/2020,CYM,Cayman Islands,Closed due to COVID-19
14/03/2020,CYP,Cyprus,Closed due to COVID-19
14/03/2020,CZE,Czechia,Closed due to COVID-19
14/03/2020,DEU,Germany,Partially open
14/03/2020,DZA,Algeria,Closed due to COVID-19
14/03/2020,ECU,Ecuador,Closed due to COVID-19
14/03/2020,ESP,Spain,Partially open
14/03/2020,FRA,France,Partially open
14/03/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open
14/03/2020,GEO,Georgia,Closed due to COVID-19
14/03/2020,GRC,Greece,Closed due to COVID-19
14/03/2020,HND,Honduras,Closed due to COVID-19
14/03/2020,HUN,Hungary,Partially open
14/03/2020,IND,India,Partially open
14/03/2020,IRL,Ireland,Closed due to COVID-19
14/03/2020,IRN,Iran (Islamic Republic of),Closed due to COVID-19
14/03/2020,IRQ,Iraq,Closed due to COVID-19
14/03/2020,ISR,Israel,Closed due to COVID-19
14/03/2020,ITA,Italy,Closed due to COVID-19
14/03/2020,JAM,Jamaica,Closed due to COVID-19
14/03/2020,JPN,Japan,Closed due to COVID-19
14/03/2020,KHM,Cambodia,Partially open
14/03/2020,KOR,Republic of Korea,Closed due to COVID-19
14/03/2020,KWT,Kuwait,Closed due to COVID-19
14/03/2020,LBN,Lebanon,Closed due to COVID-19
14/03/2020,LKA,Sri Lanka,Closed due to COVID-19
14/03/2020,LVA,Latvia,Closed due to COVID-19
14/03/2020,MDA,Republic of Moldova,Closed due to COVID-19
14/03/2020,MDV,Maldives,Closed due to COVID-19
14/03/2020,MKD,North Macedonia,Closed due to COVID-19
14/03/2020,MLT,Malta,Closed due to COVID-19
14/03/2020,MNG,Mongolia,Closed due to COVID-19
14/03/2020,NOR,Norway,Closed due to COVID-19
14/03/2020,PAK,Pakistan ,Closed due to COVID-19
14/03/2020,PAN,Panama,Closed due to COVID-19
14/03/2020,PHL,Philippines,Partially open
14/03/2020,PRK,Democratic People's Republic of Korea,Closed due to COVID-19
14/03/2020,PRT,Portugal,Partially open
14/03/2020,PRY,Paraguay ,Closed due to COVID-19
14/03/2020,PSE,Palestine,Partially open
14/03/2020,QAT,Qatar,Closed due to COVID-19
14/03/2020,ROU,Romania,Closed due to COVID-19
14/03/2020,RUS,Russian Federation,Partially open
14/03/2020,SAU,Saudi Arabia,Closed due to COVID-19
14/03/2020,SJM,Svalbard,Closed due to COVID-19
14/03/2020,SLV,El Salvador,Closed due to COVID-19
